timestamp(ms),adc1,adc2,adc3,
"1747073282.563","0.451613","0.425806",,
"1747073282.564","0.406452","0.377419","3.3",
"1747073282.565","0.467742","0.387097","3.3",
"1747073282.566","0.46129","0.458065","3.3",
"1747073282.567","0.432258","0.43871","3.293548",
"1747073282.568","0.416129","0.358065","3.3",
"1747073282.569","0.409677","0.432258","3.3",
"1747073282.57","0.354839","0.351613","3.3",
"1747073282.571","0.251613","0.387097","3.3",
"1747073282.572","0.351613","0.43871","3.3",
"1747073282.573","0.203226","0.432258","3.3",
"1747073282.574","0.280645","0.409677","3.3",
"1747073282.575","0.212903","0.325806","3.3",
"1747073282.576","0.196774","0.364516","3.3",
"1747073282.58","0.248387","0.36129","3.3",
"1747073282.581","0.277419","0.409677","3.287097",
"1747073282.582","0.274194","0.409677","3.3",
"1747073282.583","0.290323","0.425806","3.3",
"1747073282.584","0.312903","0.451613","3.3",
"1747073282.585","0.329032","0.432258","3.3",
"1747073282.586","0.345161","0.435484","3.3",
"1747073282.587","0.354839","0.406452","3.3",
"1747073282.588","0.367742","0.435484","3.3",
"1747073282.589","0.358065","0.43871","3.3",
"1747073282.59","0.380645","0.351613","3.3",
"1747073282.591","0.364516","0.416129","3.296774",
"1747073282.592","0.364516","0.358065","3.3",
"1747073282.593","0.348387","0.403226","3.3",
"1747073282.594","0.319355","0.277419","3.3",
"1747073282.595","0.303226","0.251613","3.3",
"1747073282.596","0.3","0.293548","3.3",
"1747073282.597","0.280645","0.229032","0.016129",
"1747073282.598","0.251613","0.177419","0",
"1747073282.599","0.241935","0.232258","0.009677",
"1747073282.6","0.232258","0.209677","0.009677",
"1747073282.601","0.212903","0.141935","0.012903",
"1747073282.602","0.209677","0.187097","0.009677",
"1747073282.603","0.219355","0.209677","0.012903",
"1747073282.604","0.241935","0.203226","0.009677",
"1747073282.605","0.335484","0.222581","0",
"1747073282.606","0.293548","0.216129","0.003226",
"1747073282.607","0.274194","0.251613","0.009677",
"1747073282.608","0.358065","0.274194","0.012903",
"1747073282.609","0.4","0.264516","0.006452",
"1747073282.61","0.409677","0.296774","0.012903",
"1747073282.611","0.43871","0.325806","0.012903",
"1747073282.612","0.374194","0.322581","0.012903",
"1747073282.613","0.458065","0.309677","0.003226",
"1747073282.614","0.458065","0.322581","0.006452",
"1747073282.615","0.425806","0.316129","0.006452",
"1747073282.616","0.409677","0.3","0.064516",
"1747073282.617","0.419355","0.293548","0.009677",
"1747073282.618","0.409677","0.283871","0.012903",
"1747073282.619","0.406452","0.283871","0.012903",
"1747073282.62","0.409677","0.26129","0.016129",
"1747073282.621","0.416129","0.258065","0.022581",
"1747073282.622","0.419355","0.245161","0.006452",
"1747073282.623","0.422581","0.258065","0.019355",
"1747073282.624","0.409677","0.251613","0",
"1747073282.625","0.409677","0.235484","0",
"1747073282.626","0.36129","0.287097","0",
"1747073282.627","0.409677","0.26129","0.012903",
"1747073282.628","0.422581","0.293548","0.009677",
"1747073282.629","0.43871","0.309677","0.003226",
"1747073282.63","0.458065","0.335484","0.009677",
"1747073282.631","0.445161","0.396774","0",
"1747073282.632","0.454839","0.358065","0",
"1747073282.633","0.348387","0.351613","0",
"1747073282.634","0.380645","0.370968","0.003226",
"1747073282.635","0.358065","0.393548","0.003226",
"1747073282.636","0.390323","0.409677","0.012903",
"1747073282.637","0.464516","0.409677","0",
"1747073282.638","0.36129","0.383871","0.019355",
"1747073282.639","0.416129","0.448387","0.025806",
"1747073282.64","0.33871","0.432258","0",
"1747073282.641","0.393548","0.43871","0.016129",
"1747073282.642","0.332258","0.364516","0.009677",
"1747073282.643","0.248387","0.4","0.012903",
"1747073282.644","0.216129","0.419355","0.009677",
"1747073282.645","0.219355","0.4","0.012903",
"1747073282.646","0.251613","0.409677","0.009677",
"1747073282.647","0.251613","0.409677","0.006452",
"1747073282.648","0.206452","0.374194","0",
"1747073282.649","0.151613","0.380645","0.009677",
"1747073282.65","0.232258","0.387097","0.009677",
"1747073282.651","0.254839","0.393548","0.009677",
"1747073282.652","0.267742","0.416129","0",
"1747073282.653","0.264516","0.425806","0.019355",
"1747073282.654","0.287097","0.432258","0.009677",
"1747073282.655","0.296774","0.432258","0.006452",
"1747073282.656","0.309677","0.422581","0",
"1747073282.657","0.316129","0.409677","0.019355",
