x-axis,1,2,EXT
second,Volt,Volt,
-250.0000E-03,+2.3562819E+00,+1.5298491E+00,0
-249.7500E-03,+2.1552768E+00,+1.5298491E+00,0
-249.5000E-03,+1.9542718E+00,+1.6303517E+00,0
-249.2500E-03,+2.2055281E+00,+1.7308542E+00,0
-249.0000E-03,+2.1552768E+00,+1.9318592E+00,0
-248.7500E-03,+2.1050256E+00,+1.7308542E+00,0
-248.5000E-03,+2.0547743E+00,+1.6303517E+00,0
-248.2500E-03,+2.0045231E+00,+1.4293466E+00,0
-248.0000E-03,+2.1552768E+00,+1.3288441E+00,0
-247.7500E-03,+2.3060306E+00,+1.5298491E+00,0
-247.5000E-03,+2.0547743E+00,+1.9318592E+00,0
-247.2500E-03,+2.1552768E+00,+1.6806029E+00,0
-247.0000E-03,+2.3562819E+00,+1.7308542E+00,0
-246.7500E-03,+2.2557794E+00,+1.7811054E+00,0
-246.5000E-03,+2.0547743E+00,+2.0323617E+00,0
-246.2500E-03,+2.1050256E+00,+1.8816079E+00,0
-246.0000E-03,+2.1552768E+00,+1.7308542E+00,0
-245.7500E-03,+2.2557794E+00,+1.8313567E+00,0
-245.5000E-03,+2.3562819E+00,+1.8313567E+00,0
-245.2500E-03,+2.4567844E+00,+1.9821105E+00,0
-245.0000E-03,+2.1552768E+00,+1.7308542E+00,0
-244.7500E-03,+2.4567844E+00,+1.9318592E+00,0
-244.5000E-03,+2.6577894E+00,+2.0323617E+00,0
-244.2500E-03,+2.6075382E+00,+2.2836180E+00,0
-244.0000E-03,+2.9592970E+00,+2.3338692E+00,0
-243.7500E-03,+2.9090457E+00,+2.0826130E+00,0
-243.5000E-03,+2.8587944E+00,+2.1328642E+00,0
-243.2500E-03,+2.9592970E+00,+2.1328642E+00,0
-243.0000E-03,+2.7582919E+00,+2.1328642E+00,0
-242.7500E-03,+3.1603020E+00,+2.1831155E+00,0
-242.5000E-03,+3.1603020E+00,+2.0323617E+00,0
-242.2500E-03,+2.9592970E+00,+2.3338692E+00,0
-242.0000E-03,+2.9592970E+00,+2.3338692E+00,0
-241.7500E-03,+3.2608045E+00,+2.3338692E+00,0
-241.5000E-03,+3.5623120E+00,+2.5348743E+00,0
-241.2500E-03,+3.1100507E+00,+2.5348743E+00,0
-241.0000E-03,+3.5623120E+00,+2.3338692E+00,0
-240.7500E-03,+3.1603020E+00,+2.6353768E+00,0
-240.5000E-03,+3.2608045E+00,+2.6353768E+00,0
-240.2500E-03,+3.7130658E+00,+2.3841205E+00,0
-240.0000E-03,+3.3613070E+00,+2.7358793E+00,0
-239.7500E-03,+3.4618095E+00,+2.7358793E+00,0
-239.5000E-03,+3.8638196E+00,+2.7358793E+00,0
-239.2500E-03,+3.6125633E+00,+2.8363818E+00,0
-239.0000E-03,+3.5623120E+00,+2.5348743E+00,0
-238.7500E-03,+3.6125633E+00,+3.0373868E+00,0
-238.5000E-03,+3.8638196E+00,+3.0373868E+00,0
-238.2500E-03,+4.1653271E+00,+2.8866331E+00,0
-238.0000E-03,+4.1653271E+00,+3.1378894E+00,0
-237.7500E-03,+3.9140708E+00,+3.0876381E+00,0
-237.5000E-03,+4.0648246E+00,+2.9368843E+00,0
-237.2500E-03,+3.6628146E+00,+2.6856280E+00,0
-237.0000E-03,+3.9643221E+00,+2.5348743E+00,0
-236.7500E-03,+4.0145733E+00,+2.7358793E+00,0
-236.5000E-03,+4.0648246E+00,+2.7358793E+00,0
-236.2500E-03,+3.5120608E+00,+2.7358793E+00,0
-236.0000E-03,+3.7633171E+00,+2.7358793E+00,0
-235.7500E-03,+3.9140708E+00,+2.6856280E+00,0
-235.5000E-03,+4.0648246E+00,+2.6353768E+00,0
-235.2500E-03,+3.8135683E+00,+2.5851255E+00,0
-235.0000E-03,+4.3663321E+00,+2.9368843E+00,0
-234.7500E-03,+3.9140708E+00,+2.3338692E+00,0
-234.5000E-03,+4.0648246E+00,+2.5348743E+00,0
-234.2500E-03,+3.9140708E+00,+2.7358793E+00,0
-234.0000E-03,+3.5623120E+00,+2.5348743E+00,0
-233.7500E-03,+4.1150759E+00,+2.3841205E+00,0
-233.5000E-03,+3.7633171E+00,+2.4343718E+00,0
-233.2500E-03,+3.9643221E+00,+2.3338692E+00,0
-233.0000E-03,+3.7633171E+00,+2.3338692E+00,0
-232.7500E-03,+3.9140708E+00,+2.3338692E+00,0
-232.5000E-03,+3.8638196E+00,+2.7358793E+00,0
-232.2500E-03,+3.7633171E+00,+2.2836180E+00,0
-232.0000E-03,+3.5623120E+00,+2.3338692E+00,0
-231.7500E-03,+3.7130658E+00,+2.1831155E+00,0
-231.5000E-03,+3.8638196E+00,+2.3338692E+00,0
-231.2500E-03,+3.6628146E+00,+2.2836180E+00,0
-231.0000E-03,+3.7633171E+00,+2.1328642E+00,0
-230.7500E-03,+3.5623120E+00,+1.9318592E+00,0
-230.5000E-03,+3.8638196E+00,+2.0323617E+00,0
-230.2500E-03,+3.6628146E+00,+2.2836180E+00,0
-230.0000E-03,+3.9643221E+00,+1.7308542E+00,0
-229.7500E-03,+3.7130658E+00,+2.0826130E+00,0
-229.5000E-03,+3.8638196E+00,+2.2333667E+00,0
-229.2500E-03,+3.5120608E+00,+2.3338692E+00,0
-229.0000E-03,+3.7633171E+00,+2.1328642E+00,0
-228.7500E-03,+3.7633171E+00,+2.4343718E+00,0
-228.5000E-03,+3.8638196E+00,+2.3338692E+00,0
-228.2500E-03,+3.3613070E+00,+2.4846230E+00,0
-228.0000E-03,+3.5623120E+00,+2.3338692E+00,0
-227.7500E-03,+3.7633171E+00,+2.3841205E+00,0
-227.5000E-03,+3.5623120E+00,+2.2333667E+00,0
-227.2500E-03,+3.8135683E+00,+2.3841205E+00,0
-227.0000E-03,+3.7633171E+00,+2.1328642E+00,0
-226.7500E-03,+3.3110558E+00,+2.6353768E+00,0
-226.5000E-03,+3.7633171E+00,+2.4343718E+00,0
-226.2500E-03,+3.7633171E+00,+2.4846230E+00,0
-226.0000E-03,+3.5623120E+00,+2.5348743E+00,0
-225.7500E-03,+3.2105532E+00,+2.5851255E+00,0
-225.5000E-03,+3.5623120E+00,+2.6353768E+00,0
-225.2500E-03,+3.3613070E+00,+2.3841205E+00,0
-225.0000E-03,+3.7633171E+00,+2.3338692E+00,0
-224.7500E-03,+3.5120608E+00,+2.1328642E+00,0
-224.5000E-03,+3.5623120E+00,+2.4343718E+00,0
-224.2500E-03,+3.8135683E+00,+2.3841205E+00,0
-224.0000E-03,+3.7633171E+00,+2.3338692E+00,0
-223.7500E-03,+3.6125633E+00,+2.5348743E+00,0
-223.5000E-03,+3.7633171E+00,+2.4343718E+00,0
-223.2500E-03,+3.6628146E+00,+1.9821105E+00,0
-223.0000E-03,+3.1603020E+00,+2.5348743E+00,0
-222.7500E-03,+3.6628146E+00,+2.3338692E+00,0
-222.5000E-03,+3.7633171E+00,+2.2333667E+00,0
-222.2500E-03,+3.4618095E+00,+2.1831155E+00,0
-222.0000E-03,+3.1603020E+00,+2.3338692E+00,0
-221.7500E-03,+3.5120608E+00,+2.4343718E+00,0
-221.5000E-03,+3.7633171E+00,+2.4343718E+00,0
-221.2500E-03,+3.8135683E+00,+2.3841205E+00,0
-221.0000E-03,+3.9643221E+00,+2.3338692E+00,0
-220.7500E-03,+3.7633171E+00,+2.6856280E+00,0
-220.5000E-03,+4.0648246E+00,+2.6353768E+00,0
-220.2500E-03,+3.8638196E+00,+2.3338692E+00,0
-220.0000E-03,+3.9643221E+00,+2.3338692E+00,0
-219.7500E-03,+4.2658296E+00,+2.8363818E+00,0
-219.5000E-03,+3.6628146E+00,+3.0373868E+00,0
-219.2500E-03,+4.1150759E+00,+3.1881406E+00,0
-219.0000E-03,+3.9643221E+00,+2.7358793E+00,0
-218.7500E-03,+4.3663321E+00,+2.8866331E+00,0
-218.5000E-03,+4.3663321E+00,+2.6353768E+00,0
-218.2500E-03,+4.2155784E+00,+3.0876381E+00,0
-218.0000E-03,+4.1653271E+00,+3.5398994E+00,0
-217.7500E-03,+3.9140708E+00,+3.2383919E+00,0
-217.5000E-03,+3.9643221E+00,+3.6404019E+00,0
-217.2500E-03,+4.1150759E+00,+3.2886431E+00,0
-217.0000E-03,+3.9643221E+00,+2.9368843E+00,0
-216.7500E-03,+4.0648246E+00,+3.4896482E+00,0
-216.5000E-03,+4.1653271E+00,+3.3388944E+00,0
-216.2500E-03,+4.1653271E+00,+3.9921607E+00,0
-216.0000E-03,+4.3663321E+00,+3.5398994E+00,0
-215.7500E-03,+4.2658296E+00,+3.8414069E+00,0
-215.5000E-03,+4.1653271E+00,+4.0424120E+00,0
-215.2500E-03,+4.3663321E+00,+3.9419095E+00,0
-215.0000E-03,+3.9643221E+00,+4.1429145E+00,0
-214.7500E-03,+4.3663321E+00,+3.9921607E+00,0
-214.5000E-03,+4.2658296E+00,+4.0424120E+00,0
-214.2500E-03,+4.1150759E+00,+4.2434170E+00,0
-214.0000E-03,+4.1653271E+00,+4.3439195E+00,0
-213.7500E-03,+3.9643221E+00,+4.1931657E+00,0
-213.5000E-03,+3.7633171E+00,+4.2434170E+00,0
-213.2500E-03,+3.7633171E+00,+4.0926632E+00,0
-213.0000E-03,+3.9643221E+00,+4.1429145E+00,0
-212.7500E-03,+3.8638196E+00,+4.3941708E+00,0
-212.5000E-03,+3.6628146E+00,+4.0424120E+00,0
-212.2500E-03,+3.7130658E+00,+3.9921607E+00,0
-212.0000E-03,+3.5623120E+00,+4.3439195E+00,0
-211.7500E-03,+3.6125633E+00,+3.8916582E+00,0
-211.5000E-03,+3.4618095E+00,+4.1429145E+00,0
-211.2500E-03,+3.4115583E+00,+4.3439195E+00,0
-211.0000E-03,+3.3613070E+00,+3.7409044E+00,0
-210.7500E-03,+2.6075382E+00,+3.9921607E+00,0
-210.5000E-03,+2.6577894E+00,+3.9419095E+00,0
-210.2500E-03,+3.2105532E+00,+4.0926632E+00,0
-210.0000E-03,+2.7582919E+00,+4.1429145E+00,0
-209.7500E-03,+3.1100507E+00,+4.1429145E+00,0
-209.5000E-03,+2.5572869E+00,+4.2434170E+00,0
-209.2500E-03,+2.7582919E+00,+4.0926632E+00,0
-209.0000E-03,+2.7582919E+00,+4.1429145E+00,0
-208.7500E-03,+2.2055281E+00,+4.0926632E+00,0
-208.5000E-03,+2.5572869E+00,+3.9419095E+00,0
-208.2500E-03,+2.1552768E+00,+4.2434170E+00,0
-208.0000E-03,+2.3562819E+00,+4.5449245E+00,0
-207.7500E-03,+2.0547743E+00,+3.9921607E+00,0
-207.5000E-03,+2.7582919E+00,+4.0424120E+00,0
-207.2500E-03,+2.3060306E+00,+4.0424120E+00,0
-207.0000E-03,+2.1552768E+00,+4.1429145E+00,0
-206.7500E-03,+2.3562819E+00,+4.2434170E+00,0
-206.5000E-03,+2.2557794E+00,+3.9419095E+00,0
-206.2500E-03,+2.2557794E+00,+4.0926632E+00,0
-206.0000E-03,+2.1552768E+00,+4.3439195E+00,0
-205.7500E-03,+2.2055281E+00,+3.8916582E+00,0
-205.5000E-03,+2.1552768E+00,+3.7409044E+00,0
-205.2500E-03,+1.8035181E+00,+4.0424120E+00,0
-205.0000E-03,+2.3562819E+00,+3.9419095E+00,0
-204.7500E-03,+1.7532668E+00,+3.9921607E+00,0
-204.5000E-03,+1.9542718E+00,+4.1429145E+00,0
-204.2500E-03,+1.8537693E+00,+3.9921607E+00,0
-204.0000E-03,+1.9542718E+00,+4.1429145E+00,0
-203.7500E-03,+1.9542718E+00,+3.9921607E+00,0
-203.5000E-03,+1.8537693E+00,+4.0424120E+00,0
-203.2500E-03,+2.1050256E+00,+4.0424120E+00,0
-203.0000E-03,+1.7532668E+00,+3.5398994E+00,0
-202.7500E-03,+2.1552768E+00,+4.1429145E+00,0
-202.5000E-03,+1.8537693E+00,+4.0424120E+00,0
-202.2500E-03,+2.0547743E+00,+4.0926632E+00,0
-202.0000E-03,+2.1552768E+00,+4.1429145E+00,0
-201.7500E-03,+2.1552768E+00,+4.0926632E+00,0
-201.5000E-03,+1.9542718E+00,+3.9419095E+00,0
-201.2500E-03,+2.2055281E+00,+3.8414069E+00,0
-201.0000E-03,+2.3562819E+00,+4.1429145E+00,0
-200.7500E-03,+2.0547743E+00,+3.6906532E+00,0
-200.5000E-03,+2.2557794E+00,+3.8414069E+00,0
-200.2500E-03,+2.1050256E+00,+3.9921607E+00,0
-200.0000E-03,+2.5572869E+00,+4.3439195E+00,1
-199.7500E-03,+2.5572869E+00,+4.2936683E+00,1
-199.5000E-03,+2.2557794E+00,+3.8414069E+00,1
-199.2500E-03,+2.6075382E+00,+4.2936683E+00,1
-199.0000E-03,+2.3562819E+00,+4.1429145E+00,1
-198.7500E-03,+2.4065331E+00,+4.2434170E+00,1
-198.5000E-03,+2.5572869E+00,+4.1429145E+00,1
